"DisplayName","DisplayValue","RegistryKeyword"
"Energy-Efficient Ethernet (LAN-Energiesparen, EEE)","Aktiviert","*EEE"
"Flie?kontrolle","Rx & Tx aktiviert","*FlowControl"
"Interrupt-Moderation","Aktiviert","*InterruptModeration"
"IPv4 Pr?fsummenabladung","Rx & Tx aktiviert","*IPChecksumOffloadIPv4"
"Jumbo-Rahmen","Deaktiviert","*JumboPacket"
"Abladung gro?er ?bertragung V2 (IPv4)","Aktiviert","*LsoV2IPv4"
"Abladung gro?er ?bertragung V2 (IPv6)","Aktiviert","*LsoV2IPv6"
"Wake on magic packet when system is in the S0ix power state","Deaktiviert","*ModernStandbyWoLMagicPacket"
"Maximale RSS-Warteschlangenanzahl","4 Warteschlangen","*NumRssQueues"
"ARP-Abladen","Aktiviert","*PMARPOffload"
"NS-Abladen","Aktiviert","*PMNSOffload"
"Priorit?t & VLAN","Priorit?t & VLAN aktiviert","*PriorityVLANTag"
"Puffer empfangen","1024","*ReceiveBuffers"
"Seitenskalierung empfangen","Aktiviert","*RSS"
"Geschwindigkeit & Duplex","Autom. Aushandlung","*SpeedDuplex"
"TCP Pr?fsummenabladung (IPv4)","Rx & Tx aktiviert","*TCPChecksumOffloadIPv4"
"TCP Pr?fsummenabladung (IPv6)","Rx & Tx aktiviert","*TCPChecksumOffloadIPv6"
"Puffer ?bertragen","128","*TransmitBuffers"
"UDP Pr?fsummenabladung (IPv4)","Rx & Tx aktiviert","*UDPChecksumOffloadIPv4"
"UDP-Pr?fsummenabladung (IPv6)","Rx & Tx aktiviert","*UDPChecksumOffloadIPv6"
"Bei Magic Packet aufwecken","Aktiviert","*WakeOnMagicPacket"
"Bei Muster?bereinstimmung aufwecken","Aktiviert","*WakeOnPattern"
"Advanced EEE","Deaktiviert","AdvancedEEE"
"Gigabit autom. deaktivieren","Deaktiviert","AutoDisableGigabit"
"Green-Ethernet","Aktiviert","EnableGreenEthernet"
"Gigabit Lite","Aktiviert","GigaLite"
"Netzwerkadresse",,"NetworkAddress"
"Power Saving Mode","Aktiviert","PowerSavingMode"
"VLAN ID","0","RegVlanid"
"Wake-On-Lan herunterfahren","Aktiviert","S5WakeOnLan"
"WoL / Link-Geschwindigkeit reduzieren","10 Mbit/s zuerst","WolShutdownLinkSpeed"
